proto,port,open,hint,banner,details,error,tls_subject,tls_issuer,rdns,fingerprint
tcp,1,False,,,{},,,,DESKTOP-G804P63,
tcp,2,False,,,{},,,,DESKTOP-G804P63,
tcp,3,False,,,{},,,,DESKTOP-G804P63,
tcp,4,False,,,{},,,,DESKTOP-G804P63,
tcp,5,False,,,{},,,,DESKTOP-G804P63,
tcp,6,False,,,{},,,,DESKTOP-G804P63,
tcp,7,False,echo,,{},,,,DESKTOP-G804P63,
tcp,8,False,,,{},,,,DESKTOP-G804P63,
tcp,9,False,discard,,{},,,,DESKTOP-G804P63,
tcp,10,False,,,{},,,,DESKTOP-G804P63,
tcp,11,False,systat,,{},,,,DESKTOP-G804P63,
tcp,12,False,,,{},,,,DESKTOP-G804P63,
tcp,13,False,daytime,,{},,,,DESKTOP-G804P63,
tcp,14,False,,,{},,,,DESKTOP-G804P63,
tcp,15,False,,,{},,,,DESKTOP-G804P63,
tcp,16,False,,,{},,,,DESKTOP-G804P63,
tcp,17,False,qotd,,{},,,,DESKTOP-G804P63,
tcp,18,False,,,{},,,,DESKTOP-G804P63,
tcp,19,False,chargen,,{},,,,DESKTOP-G804P63,
tcp,20,False,FTP-data,,{},,,,DESKTOP-G804P63,
tcp,21,False,FTP,,{},,,,DESKTOP-G804P63,
tcp,22,False,SSH,,{},,,,DESKTOP-G804P63,
tcp,23,False,Telnet,,{},,,,DESKTOP-G804P63,
tcp,24,False,,,{},,,,DESKTOP-G804P63,
tcp,25,False,SMTP,,{},,,,DESKTOP-G804P63,
tcp,26,False,,,{},,,,DESKTOP-G804P63,
tcp,27,False,,,{},,,,DESKTOP-G804P63,
tcp,28,False,,,{},,,,DESKTOP-G804P63,
tcp,29,False,,,{},,,,DESKTOP-G804P63,
tcp,30,False,,,{},,,,DESKTOP-G804P63,
tcp,31,False,,,{},,,,DESKTOP-G804P63,
tcp,32,False,,,{},,,,DESKTOP-G804P63,
tcp,33,False,,,{},,,,DESKTOP-G804P63,
tcp,34,False,,,{},,,,DESKTOP-G804P63,
tcp,35,False,,,{},,,,DESKTOP-G804P63,
tcp,36,False,,,{},,,,DESKTOP-G804P63,
tcp,37,False,time,,{},,,,DESKTOP-G804P63,
